"","MG","Rod","AC","BC","Cone","HC","RGC"
"LUZP1",0.360824742268041,0.0697111071236318,0.613701236917222,0.222885884941842,0.0813008130081301,0.492957746478873,3.52577319587629
"RP5-1057J7.6",0.22680412371134,0.108200251211197,0.129400570884872,0.163784973278843,0.170731707317073,0.145539906103286,0.237113402061856
"HNRNPR",1.11340206185567,0.5824511035349,1.0313986679353,0.957246149009745,0.835365853658537,1.17605633802817,0.958762886597938
"C1orf213",0.136082474226804,0.0920509599856451,0.157944814462417,0.15592580949387,0.286585365853659,0.26056338028169,0.195876288659794
"RPL11",0.088659793814433,0.104432083258568,0.139866793529971,0.119773656082993,0.16869918699187,0.185446009389671,0.319587628865979
"TCEB3",0.0845360824742268,0.0890902565942939,0.150333016175071,0.107827727129833,0.142276422764228,0.126760563380282,0.443298969072165
"RP5-886K2.3",0.249484536082474,0.290597523775345,0.25499524262607,0.166299905690035,0.487804878048781,0.145539906103286,0.577319587628866
"PITHD1",0.148453608247423,0.0772474430288893,0.369172216936251,0.154039610185476,0.130081300813008,0.413145539906103,0.597938144329897
"LYPLA2",0.0412371134020619,0.0375022429571147,0.117982873453853,0.0773341716441371,0.0731707317073171,0.112676056338028,0.134020618556701
"GALE",0.0268041237113402,0.0367844966804235,0.0837297811607992,0.054699779943414,0.0752032520325203,0.0751173708920188,0.268041237113402
"HMGCL",0.123711340206186,0.11385250314014,0.132254995242626,0.166928638792832,0.270325203252033,0.213615023474178,0.505154639175258
"FUCA1",0.0391752577319588,0.0349004127041091,0.0570884871550904,0.0358377868594782,0.048780487804878,0.068075117370892,0.185567010309278
"SRSF10",0.00824742268041237,0.0368742149650099,0.0180780209324453,0.0276642565231059,0.0508130081300813,0.0328638497652582,0.0103092783505155
"RP11-293P20.2",0.00206185567010309,0.11286560200969,0.00761179828734539,0.00282929896259038,0.0040650406504065,0.00704225352112676,0
"MYOM3",0.00824742268041237,0.0403732280638794,0,0.000943099654196794,0,0,0.0103092783505155
"IFNLR1",0.121649484536082,0.040732101202225,0.0761179828734539,0.0383527192706696,0.113821138211382,0.0140845070422535,0.268041237113402
